id_study	system	strata	habitat	cat	tax_resp_class	l.n.c	l.p.c	l.int.c	Date_entry	author	pubyear	citation	publication	pubvol	pages	hab_descrip	location	latitud	longitud	elev	n_avail	n_total	p_avail	p_total	c_total	pH	light	temp	precip	npp	npp_typ	ab	ab_unit	study_typ	cons_man	HA	fert	fdchlg_man	num_nut_tmnt	num_nut	duration	fert_area	cons_area	vol	fert_unit	p_rate	n_rate	meta_source	note_study
BBH090	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.603535022	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	7.857142857	78.57142857	0.483870968	2.419354839	NA	NA	NA	30.5	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH091	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.843429384	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	1.785714286	121.4285714	0.064516129	0.967741935	NA	NA	NA	29	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH092	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	1.084013489	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	0.714285714	85.71428571	0.064516129	0.806451613	NA	NA	NA	29	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH113	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	2.74945677	20060213	Steiner	2003	Oikos 101: 569-577	Oikos	101	569-577	NA	NA	NA	NA	NA	NA	NA	0.580645161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LAB	ENCLOSURE	NA	1	2	0	0	71	NA	NA	18	microM	82	NA	Helmut'student entering data	NA
BBH152	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	2.054897086	20060316	Gonzalez	2000	Hydrobiologia 434:81-96	Hydrobiologia	434	81-96	NA	NA	9.54	-65.15	NA	6.464285714	96.42857143	0.077419355	0.825806452	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	2	2	6.5	0.138542796	0.138542796	10	microM	0.322893122	10.71428571	Helmut'student entering data	NA
BBH169	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.826677359	20060320	Elser	1992	Ecology 73: 887-902	Ecology	73	887-902	NA	NA	41.22	-122.37	NA	0.214285714	NA	NA	0.322580645	NA	NA	900	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	4	NA	NA	10	NA	NA	NA	Helmut'student entering data	NA
BBH169	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOPROD	NA	NA	1.312184266	20060320	Elser	1992	Ecology 73: 887-902	Ecology	73	887-902	NA	NA	41.22	-122.37	NA	0.214285714	NA	NA	0.322580645	NA	NA	900	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	4	NA	NA	10	NA	NA	NA	Helmut'student entering data	NA
BBH174	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.606486793	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	43.9	-71.75	NA	3.571428571	NA	0.096774194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH175	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.816491796	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	44.5	-74.5	NA	2.285714286	NA	0.225806452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH176	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.364750633	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	44.5	-74.5	NA	41.35714286	NA	0.096774194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH177	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.26769643	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	44.5	-74.5	NA	35.07142857	NA	0.193548387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH178	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.272118017	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	44.5	-74.5	NA	8.285714286	NA	0.322580645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH179	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.396415693	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	44.5	-74.5	NA	19.5	NA	0.290322581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH180	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.606487013	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	44.5	-74.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH181	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.348534305	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	44.5	-74.5	NA	2.357142857	NA	0.322580645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH182	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.077962384	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	44.5	-74.5	NA	12.14285714	NA	0.225806452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH183	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.217724191	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	44.5	-74.5	NA	4.285714286	NA	0.419354839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH184	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.170020471	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	44.5	-74.5	NA	30.14285714	NA	0.387096774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH185	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.13522001	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	44.5	-74.5	NA	25.92857143	NA	0.290322581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH186	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.061760545	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	44.5	-74.5	NA	27	NA	0.161290323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH187	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.249812523	20060321	Bukaveckas&Shaw	1998	Can J Fish Aquat Sci 55:958-966	Can J Fish Aquat Sci	55	958-966	NA	NA	43.9	-71.75	NA	5.714285714	NA	0.258064516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	2	2	0.046	0.046	10	microM	0.58120762	9.857142857	Helmut'student entering data	areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH203	FRESHWATER	BENTHIC	LAKE	LAKE BENTHIC	BIOMASS	NA	NA	0.051735566	20060322	Wheeler&Center2001	2001	Biol Control 21: 168-181	Biol Control	21	168-181	NA	NA	26.08	-80.23	NA	NA	NA	NA	NA	NA	NA	NA	28.9	NA	NA	NA	NA	NA	LAB	ENCLOSURE	1	1	2	1	21	77	0.16	0.16	128	NA	NA	NA	Helmut'student entering data	NA
DSG017	TERRESTRIAL	ABOVEGROUND	WETLAND	WETLAND	BIOMASS	NA	NA	0.531820193	20060310	Gough&Grace	1998	Ecology 79:1586-1594	Ecology	79	1586-1594	saltmarsh	Pearl River Louisiana	30.5	-89.75	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	3	1	2	1	21	700	1	50	NA	g/m2/yr	8.5	17	NA	split plot design in Spartina marsh biomass response - biomass&spp density response; sediment tmnt excluded
DSG018	TERRESTRIAL	ABOVEGROUND	WETLAND	WETLAND	BIOMASS	NA	NA	0.315384438	20060310	Gough&Grace	1998	Ecology 79:1586-1594	Ecology	79	1586-1594	saltmarsh	Pearl River Louisiana	30.5	-89.75	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	3	1	2	1	21	700	1	50	NA	g/m2/yr	8.5	17	NA	split plot design in Sagittaria marsh - biomass&spp density response; sediment tmnt excluded
DSG034	TERRESTRIAL	BELOWGROUND	FOREST	WOODY	BIOMASS	NA	NA	0.909817037	20060411	Stevens&Jones	2006	Ecology 87:616-624	Ecology	87	616-624	NA	USA - Savannah River Ecology	34.433	-82.85	75	NA	NA	NA	NA	NA	NA	NA	24	1130	NA	NA	NA	NA	FIELD	REMOVAL	1	1	2	1	21	150	0.007853982	0.007853982	NA	g/m2	63.02535746	105.0422624	NA	ingrowth cores underground -- soil amended with osmocote and lorsban insecticide in 2 x 2 factorial
DSG035	TERRESTRIAL	ABOVEGROUND	FOREST	WOODY	BIOMASS	NA	NA	0.020619287	20060412	Turkington&&	2002	J Ecology 90:325-337	J Ecol	90	325-337	NA	Canada - Yukon nr Kluane Lake in Shakwak Trench	61.03	-138.37	NA	NA	NA	NA	NA	NA	NA	NA	-3	230	NA	NA	NA	NA	FIELD	EXCLOSURE	3	1	2	1	3	3600	25	25	NA	g/m2/yr	5	17.5	NA	forest understory herbs over 10 years of hare exclusion and fertilization - classify as forest although mostly herbaceous
DSG036	TERRESTRIAL	ABOVEGROUND	FOREST	WOODY	BIOMASS	NA	NA	0.264559417	20060412	John&Turkington	1995	J Ecology 83:581-590	J Ecol	83	581-590	NA	Canada - Yukon nr Kluane Lake in Shakwak Trench	61.03	-138.37	NA	NA	NA	NA	NA	NA	NA	NA	-3	230	NA	NA	NA	NA	FIELD	EXCLOSURE	3	1	2	1	3	2190	40000	40000	NA	g/m2/yr	5	17.5	NA	unreplicated large scale factorial of hare exclusion X fertilization -- fertilization confounded with site
DSG045	MARINE	BENTHIC	WETLAND	WETLAND	BIOPROD	1.44155704	NA	NA	20060714	Silliman&Zieman	2001	Ecology 82:2830-2845	Ecology	82	2830-2845	saltmarsh	USA-Hog Island Virginia	37.45	-75.66	0	27.47488786	NA	NA	NA	NA	NA	NA	NA	NA	425	2	NA	NA	FIELD	EXCLOSURE	1	1	2	1	1	120	1	1	NA	g/m2	0	42.6	NA	2 X 3 factorial study with N addition versus snail removal + ambient + augment 3X ambient - did not use augmentation replicates
DSG046	TERRESTRIAL	ABOVEGROUND	SHRUBLAND	WOODY	BIOMASS	NA	NA	0.784118959	20060714	Swank&Oechel	1991	Ecology 72:104-115	Ecology	72	104-115	NA	USA - Southern California	41.117	-116.84	810	NA	NA	NA	NA	NA	NA	NA	NA	250	NA	NA	NA	NA	FIELD	EXCLOSURE	3	1	2	1	3	240	0.25	0.25	NA	g/m2	10	6	NA	split plot design with herbivore exclusion + fertilization + water addition within trenched or not trenched to kill competitive roots - used only unwatered untrenched plots
DSG048	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	1.704748092	NA	NA	20060720	Stephen&&	1998	Freshwater Biology 39:699-713	Freshwater Biology	39	699-713	NA	Cheshire - England	53.33	2.38	NA	0.386	NA	2	NA	NA	9.5	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	1	1	2	1	2	42	NA	1	1	microM	0	178.57	NA	1995: factorial enclosure experiments nutrients + macrophyte exclusion + salt addition (only nutrients used summed over other tmnts)
DSG055	TERRESTRIAL	ABOVEGROUND	HERBACEOUS	HERBACEOUS	BIOMASS	NA	NA	1.987121405	20060820	Buckland&Grime	2000	Oikos 91:336-352	Oikos	91	336-352	NA	Sheffield - UK	54.05	-1.25	NA	NA	51.02040816	NA	11.52073733	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	2	1	2	2	2	520	0.56	0.56	NA	g/m2	8.928571429	17.85714286	NA	replicated enclosures outdoors; two herbivores & two carnivores added
DSG056	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.901144747	20061102	Cottingham&&	1997	J Plankton Research	J Plankton Res	19	995-1010	NA	Michigan USA - Long Lake	46.25	-89.5	-2.3	NA	NA	NA	0.355	NA	NA	NA	18	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	3	1	2	1	3	63	1	1	2000	microM/d	0.064578624	2.857142857	NA	data obtained from first author Cottingham
