Date_entry,ID_study,author,pubyear,citation,publication,pubvol,pagestart,pageend,system,strata,habitat,hab_descrip,location,latitud,longitud,elev,n_avail,n_total,p_avail,p_total,c_total,pH,light,temp,precip,npp,npp_typ,ab,ab_unit,study_typ,cons_man,HA,fert,fdchlg_man,num_nut_tmnt,num_nut,duration,fert_area,cons_area,vol,meta_source,note_study
20060201,BBH056,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,4.1,.,0.12,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH057,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,2.5,.,0.1,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH058,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,30,.,0.13,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH059,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,26,.,0.095,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH060,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,26,.,0.095,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH061,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,26,.,0.095,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH062,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,26,.,0.095,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH063,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,4.2,.,0.13,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH064,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,24,.,0.074,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH065,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,35,.,0.063,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH066,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,35,.,0.063,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH067,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,35,.,0.063,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH068,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,35,.,0.063,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH069,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,35,.,0.063,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH070,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,8.2,.,0.1,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH071,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,20,.,0.095,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060202,BBH072,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,41,.,0.032,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060203,BBH073,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,0.892857143,89.28571429,0.193548387,2.903225806,.,.,.,25.5,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH074,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,2.142857143,98.21428571,0.064516129,1.774193548,.,.,.,17,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH075,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,1.428571429,142.8571429,0.241935484,2.419354839,.,.,.,28,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH076,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,0.714285714,125,0.064516129,1.290322581,.,.,.,31.5,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH077,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,0.892857143,101.7857143,0.064516129,1.129032258,.,.,.,27,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH078,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,23.21428571,139.2857143,1.290322581,5,.,.,.,23,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH079,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,25.71428571,135.7142857,1.774193548,6.774193548,.,.,.,16,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH080,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,28.57142857,137.5,1.903225806,4.838709677,.,.,.,25,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH081,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,1.428571429,60.71428571,0.64516129,1.935483871,.,.,.,29.5,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH082,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,3.571428571,73.21428571,0.677419355,4.032258065,.,.,.,28.5,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH083,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,0.714285714,121.4285714,0.903225806,3.225806452,.,.,.,22.5,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH084,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,.,.,.,.,.,.,.,15.5,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH085,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,1.071428571,78.57142857,0.322580645,2.258064516,.,.,.,27.5,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH086,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,1.428571429,94.64285714,0.064516129,1.774193548,.,.,.,30.5,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH087,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,0.714285714,75,0.35483871,1.774193548,.,.,.,30,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH088,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,0.714285714,114.2857143,0.258064516,1.935483871,.,.,.,24.5,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH089,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,30.71428571,135.7142857,1.532258065,6.290322581,.,.,.,15.5,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH090,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,7.857142857,78.57142857,0.483870968,2.419354839,.,.,.,30.5,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH091,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,1.785714286,121.4285714,0.064516129,0.967741935,.,.,.,29,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060203,BBH092,Havens&&,1996,Freshw Biol 36:579-597,Freshw Biol,36,579,597,freshwater,pelagic,lake,.,.,26.5,-80.8,.,0.714285714,85.71428571,0.064516129,0.806451613,.,.,.,29,.,.,.,.,.,field,exclosure,3,1,2,1,3,3,.,.,20,Helmut'student entering data,"fixed fert num_nut_tmnt & num_nut fields 8nov07 DSG - prev ""0"" for all"
20060315,BBH093,Matveev&Matveeva,1997,Freshw Biol 38:49-65,Freshw Biol,38,49,65,freshwater,pelagic,lake,.,.,-36.08,147.04,192,.,29.28571429,.,1.129032258,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,4,.,.,4,Helmut'student entering data,.
20060315,BBH094,Matveev&Matveeva,1997,Freshw Biol 38:49-65,Freshw Biol,38,49,65,freshwater,pelagic,lake,.,.,-36.08,147.04,192,.,29.28571429,.,1.129032258,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,4,.,.,4,Helmut'student entering data,.
20060315,BBH095,Matveev&Matveeva,1997,Freshw Biol 38:49-65,Freshw Biol,38,49,65,freshwater,pelagic,lake,.,.,-36.08,147.04,192,.,29.28571429,.,1.129032258,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,4,.,.,4,Helmut'student entering data,.
20060315,BBH096,Matveev&Matveeva,1997,Freshw Biol 38:49-65,Freshw Biol,38,49,65,freshwater,pelagic,lake,.,.,-36.08,147.04,192,.,29.28571429,.,1.129032258,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,4,.,.,4,Helmut'student entering data,.
20060315,BBH097,Matveev&Matveeva,1997,Freshw Biol 38:49-65,Freshw Biol,38,49,65,freshwater,pelagic,lake,.,.,-36.08,147.04,192,.,29.28571429,.,1.129032258,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,4,.,.,4,Helmut'student entering data,.
20060315,BBH098,Matveev&Matveeva,1997,Freshw Biol 38:49-65,Freshw Biol,38,49,65,freshwater,pelagic,lake,.,.,-36.08,147.04,192,.,29.28571429,.,1.129032258,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,4,.,.,4,Helmut'student entering data,.
20060315,BBH099,Matveev&Matveeva,1997,Freshw Biol 38:49-65,Freshw Biol,38,49,65,freshwater,pelagic,lake,.,.,-36.5,147.5,486,.,15.71428571,.,0.580645161,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,4,.,.,4,Helmut'student entering data,.
20060315,BBH100,Matveev&Matveeva,1997,Freshw Biol 38:49-65,Freshw Biol,38,49,65,freshwater,pelagic,lake,.,.,-36.5,147.5,486,.,15.71428571,.,0.580645161,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,4,.,.,4,Helmut'student entering data,.
20060315,BBH101,Matveev&Matveeva,1997,Freshw Biol 38:49-65,Freshw Biol,38,49,65,freshwater,pelagic,lake,.,.,-36.5,147.5,486,.,15.71428571,.,0.580645161,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,4,.,.,4,Helmut'student entering data,.
20060315,BBH102,Matveev&Matveeva,1997,Freshw Biol 38:49-65,Freshw Biol,38,49,65,freshwater,pelagic,lake,.,.,-36.5,147.5,486,.,15.71428571,.,0.580645161,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,4,.,.,4,Helmut'student entering data,.
20060315,BBH103,Matveev&Matveeva,1997,Freshw Biol 38:49-65,Freshw Biol,38,49,65,freshwater,pelagic,lake,.,.,-36.5,147.5,486,.,15.71428571,.,0.580645161,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,4,.,.,4,Helmut'student entering data,.
20060315,BBH104,Matveev&Matveeva,1997,Freshw Biol 38:49-65,Freshw Biol,38,49,65,freshwater,pelagic,lake,.,.,-36.5,147.5,486,.,15.71428571,.,0.580645161,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,4,.,.,4,Helmut'student entering data,.
20060207,BBH105,Sarnelle,2003,American Naturalist 161:478-496,Am Nat,161,478,496,freshwater,pelagic,lake,.,.,34.75,-120,.,.,.,.,5.64516129,.,.,.,.,.,.,.,.,.,field,multiple,.,0,2,0,0,12,.,.,10,Helmut'student entering data,.
20060210,BBH112,Gross&&,2001,Oecologia 127:105-114,Oecologia,127,105,114,freshwater,pelagic,lake,.,.,.,.,.,.,.,.,.,.,.,275,17.5,.,.,.,.,.,lab,enclosure,.,0,3,0,0,21,.,.,95,Helmut'student entering data,.
20060213,BBH113,Steiner,2003,Oikos 101:569-577,Oikos,101,569,577,freshwater,pelagic,lake,.,.,.,.,.,.,.,0.580645161,.,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,71,.,.,18,Helmut'student entering data,.
20060220,BBH138,Fernandez&Acuna,2003,Limnol Oceanogr 48:587-593,Limnol Oceanogr,48,587,593,marine,pelagic,.,.,.,.,.,.,.,.,.,.,.,.,35,15,.,.,.,.,.,lab,exclosure,.,0,2,0,0,5,.,.,5,Helmut'student entering data,.
20060220,BBH139,Fernandez&Acuna,2003,Limnol Oceanogr 48:587-593,Limnol Oceanogr,48,587,593,marine,pelagic,.,.,.,.,.,.,.,.,.,.,.,.,35,15,.,.,.,.,.,lab,exclosure,.,0,2,0,0,4,.,.,5,Helmut'student entering data,.
20060220,BBH140,Pilati&Wurtsbaugh,2003,Limnol Oceanogr:48:249-260,Limnol Oceanogr,48,249,260,freshwater,pelagic,lake,.,.,44,-114.88,2157,2,4,0.06,0.3,.,.,.,.,.,.,.,.,.,field,exclosure,.,0,2,0,0,11,.,.,.,Helmut'student entering data,.
20060220,BBH141,Pilati&Wurtsbaugh,2003,Limnol Oceanogr:48:249-260,Limnol Oceanogr,48,249,260,freshwater,pelagic,lake,.,.,44,-114.88,2157,4.2,9.8,0.09,0.3,.,.,.,.,.,.,.,.,.,field,exclosure,.,0,2,0,0,11,.,.,.,Helmut'student entering data,.
