ID_response,ID_study,tax_man,fd_ch_trt,tax_man_pres,tax_man_cnt,tax_man_cnt_unit,tax_man_biom,tax_man_biom_unit,tax_man_div,tax_man_div_unit,tax_resp,tax_resp_mn,tax_resp_sd,tax_resp_reps,tax_resp_cat,tax_resp_typ,tax_resp_unit,repeat_meas,n_add,p_add,other1_add,other2_add,lightman,n_rate,p_rate,other_rate,other2_rate,light_rate,other1_typ,other2_typ,elements,fert_unit,Source,note_resp
25,BBH042,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.3,0.66,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
26,BBH042,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.5,0.86,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
27,BBH042,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,5.4,0.36,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
28,BBH043,macrozooplankton/crustacean zooplankton,2,1,77323,no/m3,56.84,mg/m3,.,.,phytoplankton,4.1,0.16,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
29,BBH043,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.6,0.22,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
30,BBH043,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,5.6,0.39,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
31,BBH043,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,5.6,0.074,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
32,BBH044,macrozooplankton/crustacean zooplankton,2,1,20959,no/m3,16.84,mg/m3,.,.,phytoplankton,3.4,0.19,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
33,BBH044,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,3.5,0.091,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
34,BBH044,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,3.1,0.091,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
35,BBH044,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,3.6,0.14,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
36,BBH045,macrozooplankton/crustacean zooplankton,2,1,3828,no/m3,4.66,mg/m3,.,.,phytoplankton,4.6,0.12,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
37,BBH045,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,5.4,0.24,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
38,BBH045,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,7.3,1.2,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
39,BBH045,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,7,0.22,3,biomass,chlorophyll,microg/L,.,1,0,0,0,0,.,.,.,.,.,.,.,NO K,.,Table2and5,.
40,BBH045,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,6.5,0.54,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
41,BBH046,macrozooplankton/crustacean zooplankton,2,1,23014,no/m3,57.7,mg/m3,.,.,phytoplankton,4.1,0.001,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
42,BBH046,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.1,0.52,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
43,BBH046,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.2,0.39,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
44,BBH046,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.5,.,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
45,BBH047,macrozooplankton/crustacean zooplankton,2,1,28300,no/m3,70.67,mg/m3,.,.,phytoplankton,5.2,0.17,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
46,BBH047,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,7.5,0.67,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
47,BBH047,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,7.7,0.21,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
48,BBH047,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,9.6,0.59,3,biomass,chlorophyll,microg/L,.,1,0,0,0,0,.,.,.,.,.,.,.,NO K,.,Table2and5,.
49,BBH047,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,10,0.036,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
50,BBH048,macrozooplankton/crustacean zooplankton,2,1,16439,no/m3,73.89,mg/m3,.,.,phytoplankton,7.2,0.32,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
51,BBH048,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,8.8,0.31,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
52,BBH048,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,8.5,0.27,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
53,BBH048,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,10,0.64,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
54,BBH049,macrozooplankton/crustacean zooplankton,2,1,20644,no/m3,23.35,mg/m3,.,.,phytoplankton,4.4,0.81,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
55,BBH049,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,5.6,0.53,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
56,BBH049,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,5.3,0.84,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
57,BBH049,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,8.5,1.1,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
58,BBH050,macrozooplankton/crustacean zooplankton,2,1,15696,no/m3,15.89,mg/m3,.,.,phytoplankton,3.8,0.31,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
59,BBH050,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,3.9,0.7,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
60,BBH050,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,3.7,0.076,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
61,BBH050,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.5,0.18,3,biomass,chlorophyll,microg/L,.,1,0,0,0,0,.,.,.,.,.,.,.,NO K,.,Table2and5,.
62,BBH050,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,6.5,0.013,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
63,BBH051,macrozooplankton/crustacean zooplankton,2,1,35355,no/m3,66.36,mg/m3,.,.,phytoplankton,2.9,0.2,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
64,BBH051,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,3.7,0.081,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
65,BBH051,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,3.5,0.18,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
66,BBH051,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,6.4,0.56,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
67,BBH052,macrozooplankton/crustacean zooplankton,2,1,21738,no/m3,57.11,mg/m3,.,.,phytoplankton,2.5,0.017,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
68,BBH052,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,2.4,0.25,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
69,BBH052,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,2.6,0.18,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
70,BBH052,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.1,0.089,3,biomass,chlorophyll,microg/L,.,1,0,0,0,0,.,.,.,.,.,.,.,NO K,.,Table2and5,.
71,BBH052,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,5.2,0.071,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
72,BBH053,macrozooplankton/crustacean zooplankton,2,1,42180,no/m3,40.14,mg/m3,.,.,phytoplankton,3.6,0.17,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
73,BBH053,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,3.7,0.21,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
74,BBH053,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,3.8,0.25,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
75,BBH053,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,10,0.3,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
76,BBH054,macrozooplankton/crustacean zooplankton,2,1,11259,no/m3,9.44,mg/m3,.,.,phytoplankton,3.6,0.066,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
77,BBH054,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.2,0.15,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
78,BBH054,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.2,0.14,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
79,BBH054,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,5.6,0.25,3,biomass,chlorophyll,microg/L,.,1,0,0,0,0,.,.,.,.,.,.,.,NO K,.,Table2and5,.
80,BBH054,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,6.4,0.25,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
81,BBH055,macrozooplankton/crustacean zooplankton,2,1,78186,no/m3,134.57,mg/m3,.,.,phytoplankton,1.3,0.34,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
82,BBH055,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,1.7,0.13,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
83,BBH055,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,1.7,0.088,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
84,BBH055,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,2.3,0.14,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
85,BBH056,macrozooplankton/crustacean zooplankton,2,1,67868,no/m3,124.64,mg/m3,.,.,phytoplankton,1.4,0.074,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
86,BBH056,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,2.6,0.096,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
87,BBH056,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.7,0.036,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
88,BBH056,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.4,0.33,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
89,BBH057,macrozooplankton/crustacean zooplankton,2,1,24000,no/m3,65.45,mg/m3,.,.,phytoplankton,3.8,0.13,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
90,BBH057,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,6.6,0.36,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
91,BBH057,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,6,0.052,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
92,BBH057,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,10,0.055,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
93,BBH058,macrozooplankton/crustacean zooplankton,2,1,10869,no/m3,20.77,mg/m3,.,.,phytoplankton,1.4,0.073,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
94,BBH058,macrozooplankton/crustacean zooplankton,1,0,.,no/m3,0,mg/m3,.,.,phytoplankton,1.8,0.036,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
95,BBH058,macrozooplankton/crustacean zooplankton,1,0,.,no/m3,0,mg/m3,.,.,phytoplankton,2.4,0.74,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
96,BBH058,macrozooplankton/crustacean zooplankton,1,0,.,no/m3,0,mg/m3,.,.,phytoplankton,2.3,0.28,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
97,BBH059,macrozooplankton/crustacean zooplankton,2,1,.,no/m3,.,mg/m3,.,.,phytoplankton,3.3,0.07,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
98,BBH059,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.1,0.03,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
99,BBH059,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4.1,0.19,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
100,BBH059,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,4,0.068,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
101,BBH060,macrozooplankton/crustacean zooplankton,2,1,16789,no/m3,30.46,mg/m3,.,.,phytoplankton,1.8,0.051,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
102,BBH060,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,2.5,0.069,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
103,BBH060,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,2.8,0.085,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
104,BBH060,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,2.9,0.14,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
105,BBH061,macrozooplankton/crustacean zooplankton,2,1,8025,no/m3,15.42,mg/m3,.,.,phytoplankton,1.3,0.028,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
106,BBH061,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,1.4,0.079,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
107,BBH061,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,1.7,0.17,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
108,BBH062,macrozooplankton/crustacean zooplankton,2,1,6730,no/m3,21.75,mg/m3,.,.,phytoplankton,1.5,0.054,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
109,BBH062,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,1.2,0.056,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
