Chla_Mean,Chla_SE,LRR_Mean,LRR_Var,Trt,Temp,NH4_ug_L,NO3_ug_L,DIN_ug_L,TN_mg_L,SRP_ug_L,TP_ug_L,NO3_SRP_Ratio,Canopy_Quant
7.54,1.644145458,,,Ctrl,,,2.8,7.9,0.22,6.1,58.5,,
16.83,1.995652417,,,Ctrl,,,0.9,5.1,0.15,16.5,62.5,,
6.67,0.438438789,,,Ctrl,,,0.9,6,0.25,7.4,63.1,,
3,0.188982237,,,Ctrl,,,0.7,6,0.19,7.9,78.6,,
4,0.377964473,,,Ctrl,,,0.7,6.1,0.19,17.5,89.9,,
5.4,0.9,,,Ctrl,7.3,,,56.7,,2.2,,58,
113.5,5.7,,,Ctrl,7.5,,,58.2,,7.2,,18,
113.4,0.01,,,Ctrl,7.3,,,40.4,,4.1,,22,
1,0.2,,,Ctrl,6.8,,,85.7,,1.7,,122,
44.2,12,,,Ctrl,5.8,,,78.4,,3.7,,47,
14.7,3.2,,,Ctrl,6,,,86.5,,,,,
49.3,28.8,,,Ctrl,6.8,,,66.1,,3.4,,43,
4.6,1.3,,,Ctrl,,,,39,,7,,11.7,
0.7,0.1,,,Ctrl,,,,37,,2,,33.9,
2.4,0.8,,,Ctrl,,,,40,,5,,15.3,
0.4,0.01,,,Ctrl,,,,17,,5,,7.3,
0.01,0.01,,,Ctrl,,,,11,,5,,4.8,
1,0.1,,,Ctrl,,,,16,,5,,6.9,
1.3,0.5,,,Ctrl,,,,44,,10,,9.5,
1.1,0.2,,,Ctrl,,,,40,,3,,26.3,
1.3,0.01,,,Ctrl,,,,22,,4,,12.7,
0.4,0.01,,,Ctrl,,,,48,,7,,14.7,
22.7,5.9,,,Ctrl,,,,219,,4,,112.7,
1.3,0.01,,,Ctrl,,,,32,,2,,35.8,
38.1,9.3,,,Ctrl,,,,57,,13,,9.5,
9,2.4,,,Ctrl,,,,25,,9,,5.8,
44,8.1,,,Ctrl,,,,5996,,7,,1950,
111.3,9.3,,,Ctrl,,,,58,,7,,17.9,
43.7,4,,,Ctrl,,,,8695,,40,,480.7,
3.1,0.01,,,Ctrl,,,,28,,3,,21.7,
31.7,9.3,,,Ctrl,,,,415,,85,,10.8,
30.7,9.3,,,Ctrl,,,,26,,4,,13.4,
1.6,0.01,,,Ctrl,,,,44,,3,,28.8,
119.6,19.8,,,Ctrl,,,,18,,21,,1.9,
3.5,2.1,,,Ctrl,,,,57,,2,,57,
3,0.01,,,Ctrl,,,,21,,4,,11.7,
116.8,17.7,,,Ctrl,,,,40,,4,,22.8,
9.6,2.2,,,Ctrl,,,,13,,4,,6.7,
33.3,6.7,,,Ctrl,,,,56,,5,,27.5,
12.2,0.01,,,Ctrl,,,,76,,10,,17.3,
0.8,0.1,,,Ctrl,,,,86,,2,,111.5,
23.5,9.8,,,Ctrl,,,,78,,4,,46.9,
12.9,2.2,,,Ctrl,,,,87,,9,,22,
68.4,23.4,,,Ctrl,,,,77,,3,,50.3,
15.1,2.7,,,Ctrl,,,,,,,,,
13.9,2.9,,,Ctrl,,,,,,,,,
155.6,16.6,,,Ctrl,,,,,,,,,
16.9,2.8,,,Ctrl,,,,,,,,,
72.2,7.5,,,Ctrl,,,,,,,,,
27.4,8.2,,,Ctrl,,,,,,,,,
38.2,6,,,Ctrl,,,,,,,,,
126.4,21.35310754,,,Ctrl,9.3,27.04506,247.89184,,,,,52,
3.1,0.9,,,Ctrl,8.56,,230.36,,,15.325,,10,20.8
3.1,0.9,,,Ctrl,8.56,,230.36,,,15.325,,10,20.8
10.1,3.5,,,Ctrl,9.23,,115.18,,,15.325,,5,27.4
3.1,0.9,,,Ctrl,8.56,,230.36,,,15.325,,10,20.8
14.9,8.4,,,Ctrl,9.14,,283.52,,,15.325,,13,16.7
10.1,3.5,,,Ctrl,9.23,,115.18,,,15.325,,5,27.4
10.1,3.5,,,Ctrl,9.23,,115.18,,,15.325,,5,27.4
2.3,1.1,,,Ctrl,9.45,,407.56,,,27.585,,10,44.1
14.9,8.4,,,Ctrl,9.14,,283.52,,,15.325,,13,16.7
6.3,4.4,,,Ctrl,10.39,,695.51,,,21.455,,22,60.4
10.9,7,,,Ctrl,9.55,,287.95,,,24.52,,8,54.2
6.3,4.4,,,Ctrl,10.39,,695.51,,,21.455,,22,60.4
10.9,7,,,Ctrl,9.55,,287.95,,,24.52,,8,54.2
6.3,4.4,,,Ctrl,10.39,,695.51,,,21.455,,22,60.4
10.9,7,,,Ctrl,9.55,,287.95,,,24.52,,8,54.2
2.3,1.1,,,Ctrl,9.45,,407.56,,,27.585,,10,44.1
2.3,1.1,,,Ctrl,9.45,,407.56,,,27.585,,10,44.1
14.9,8.4,,,Ctrl,9.14,,283.52,,,15.325,,13,16.7
5.08,1.74,,,Ctrl,5.8,,,20.35,,6.4,,6.87,
6.7,0.52,,,Ctrl,9.3,,,25.1,,5.3,,24.5,
6.45,1.7,,,Ctrl,18.6,,,100.4,,7.4,,29.6,
3.24,0.35,,,Ctrl,20.2,,,13.9,,3.6,,8.2,
4.5,0.1,,,Ctrl,12.5,,,,0.2,,9.5,,
9.6,4,,,Ctrl,11.6,,,,0.29,,11.2,,
0.01,0.01,,,Ctrl,12,,,,0.22,,13.4,,
1.8,0.6,,,Ctrl,11.8,,,,0.27,,13.9,,
2,0.5,,,Ctrl,,,,,0.02,,14,,55.9
3.3,0.9,,,Ctrl,,,,,0.17,,14,,68.6
3.2,0.6,,,Ctrl,,,,,0.05,,14,,63.7
1.1,0.3,,,Ctrl,,,,,0.04,,16,,72.5
0.9,0.2,,,Ctrl,,,,,0.03,,16,,86.3
4.4,0.3,,,Ctrl,,,,,,,,,
9.1,0.4,,,Ctrl,,,,,,,,,
3.2,0.8,,,Ctrl,,,,,0.08,,16,,18.6
2.2,0.11,,,Ctrl,,,,,0.35,,38,,82.4
6,1.5,,,Ctrl,,,,,1.47,,46,,73.5
48.4,4.9,,,Ctrl,,,,,,,,,10
4,0.7,,,Ctrl,17,5,154,,,1,,159,
0.5,0.1,,,Ctrl,,5,11,,,1,,16,
1.8,1.4,,,Ctrl,,,,,,,,,
2.3,0.3,,,Ctrl,16,4,20,,,2,,12,
0.5,0.1,,,Ctrl,17.3,9,29,,,6,,9,
2,0.9,,,Ctrl,17,4,10,,,2.5,,6,
3.2,0.01,,,Ctrl,,6,29,,,2,,17,
6.3,3.4,,,Ctrl,17,5,43,,,1.5,,36,
7.3,1.8,,,Ctrl,,4,52,,,1,,55,
0.7,0.2,,,Ctrl,,,,,,,,,
0.1,0.4,,,Ctrl,,,,,,,,,
0.2,0.4,,,Ctrl,,,,,,,,,
1.2,0.6,,,Ctrl,,,,,,,,,
1.8,0.2,,,Ctrl,,,,,,,,,
2.4,0.7,,,Ctrl,,,,,,,,,
2.4,1.6,,,Ctrl,,,,,,,,,
2.8,0.4,,,Ctrl,,,,,,,,,
2.1,0.8,,,Ctrl,,,,,,,,,
0.9,0.6,,,Ctrl,,,,,,,,,
3.5,1.4,,,Ctrl,,,,,,,,,
4.9,0.9,,,Ctrl,,,,,,,,,
0.6,0.044271887,,,Ctrl,25.88888889,,26.826408,,,0.53,,,
0.42,0.05375872,,,Ctrl,25.77777778,,25.852512,,,0.18,,,
0.2,0.09486833,,,Ctrl,7.222222222,,7.96824,,,0.02,,,
1.3,0.379473319,,,Ctrl,9.833333333,,10.314444,,,0.02,,,
1.1,0.252982213,,,Ctrl,11.66666667,,3.585708,,,0.98,,,
4.6,0.569209979,,,Ctrl,25.27777778,,14.077224,,,0.05,,,
7.7,0.866666667,,,Ctrl,,,34.706112,,,6.75,,,
5.3,0.948683298,,,Ctrl,,,12.704916,,,0.03,,,
9.6,0.822192192,,,Ctrl,22,,2.523276,,,0.01,,,
4.8,0.695701085,,,Ctrl,13.72222222,,14.16576,,,0.02,,,
8.8,1.2655697,,,Ctrl,,,9.119208,,,0.04,,,
3.4,0.790569415,,,Ctrl,23.05555556,,2.965956,,,0.02,,,
28.1,2.305583285,,,Ctrl,,,13.2804,,,0.05,,,
2.9,0.980306075,,,Ctrl,,,10.580052,,,0.02,,,
28.7,1.423024947,,,Ctrl,25.55555556,,9.030672,,,0.04,,,
22.4,2.751181564,,,Ctrl,,,9.119208,,,0.03,,,
19.5,2.245217139,,,Ctrl,24.66666667,,11.863824,,,0.02,,,
16.5,1.58113883,,,Ctrl,21.66666667,,11.598216,,,0.04,,,
31.7,2.434953798,,,Ctrl,25.94444444,,11.863824,,,0.03,,,
24.1,1.866666667,,,Ctrl,,,14.16576,,,0.02,,,
18.2,1.77087549,,,Ctrl,25.55555556,,12.217968,,,0.06,,,
43.4,4.560838739,,,Ctrl,25.33333333,,6.41886,,,0.02,,,
49.7,4.237452065,,,Ctrl,,,3.718512,,,0.01,,,
44.4,2.972541001,,,Ctrl,21.77777778,,10.580052,,,0.03,,,
49.9,6.887089371,,,Ctrl,23.05555556,,6.684468,,,0.03,,,
4.1,0.9,,,Ctrl,,,,,,,,,
4.9,2.6,,,Ctrl,,,,,,,,,
13.8,1.7,,,Ctrl,,,,,,,,,
9.2,2.5,,,Ctrl,,,,,,,,,
15.3,7.9,,,Ctrl,,,,,,,,,
19.7,6.2,,,Ctrl,,,,,,,,,
17.6,1.6,,,Ctrl,,,,,,,,,
9.8,3,,,Ctrl,,,,,,,,,
0.3,0.1,,,Ctrl,,,,,,,,,
45.7,6.7,,,Ctrl,,,,,,,,,
1.2,0.8,,,Ctrl,,,,,,,,,
13.2,1.8,,,Ctrl,,,,,,,,,
127.5,44.7,,,Ctrl,,,,,,,,,
93.2,33.9,,,Ctrl,,,,,,,,,
0.8,0.1,,,Ctrl,,,,,,,,,
0.4,0.3,,,Ctrl,,,,,,,,,
2.65,0.196061215,,,Ctrl,,40,10,,,10,60,,
3.87,0.466666667,,,Ctrl,,40,20,,,20,70,,
5.74,0.379473319,,,Ctrl,,40,40,,,70,150,,
2.68,0.347850543,,,Ctrl,,60,50,,,80,160,,
4.06,0.284604989,,,Ctrl,,40,20,,,60,160,,
3.06,0.284604989,,,Ctrl,,40,20,,,80,170,,
3.44,0.474341649,,,Ctrl,,40,90,,,90,180,,
12.32,1.517893277,,,Ctrl,,80,40,,,60,180,,
22.86,3.4,,,Ctrl,,360,320,,,180,270,,
9.34,0.831521841,,,Ctrl,,40,160,,,130,320,,
3,1.2,,,Ctrl,,,,,,,,,
1.2,0.4,,,Ctrl,,,,,,,,,
2.1,0.9,,,Ctrl,,,,,,,,,
1.5,0.5,,,Ctrl,,,,,,,,,
1.4,0.9,,,Ctrl,,,,,,,,,
205.9,62.4,,,Ctrl,,,,,,,,,
1.744,0.141,,,Ctrl,,0.361,14.99,,,12.82,,,28
1.744,0.141,,,Ctrl,,0.361,14.99,,,12.82,,,28
0.24,0.02815,,,Ctrl,,4.68,1.63,,,1.26,,,91
0.354,0.2125,,,Ctrl,,0.299,1.04,,,0.248,,,63
0.265,0.065,,,Ctrl,,5.57,1.77,,,1.5,,,51
0.015,0.005,,,Ctrl,,0.66,1.62,,,0.09,,,9
0.24,0.02815,,,Ctrl,,4.68,1.63,,,1.26,,,91
0.354,0.2125,,,Ctrl,,0.299,1.04,,,0.248,,,63
0.015,0.005,,,Ctrl,,0.66,1.62,,,0.09,,,9
0.015,0.005,,,Ctrl,,0.66,1.62,,,0.09,,,9
0.354,0.2125,,,Ctrl,,0.299,1.04,,,0.248,,,63
0.015,0.005,,,Ctrl,,0.66,1.62,,,0.09,,,9
0.265,0.065,,,Ctrl,,5.57,1.77,,,1.5,,,51
14.6,2.898562862,,,Ctrl,,,,,,,,,
4.8,0.442718872,,,Ctrl,,,1682.184,,0.605,20,40,,
4.7,0.632455532,,,Ctrl,,,1505.112,,0.64,15,60,,
17.3,1.39846855,,,Ctrl,,,177.072,,1.09,25,160,,
8.8,1.897366596,,,Ctrl,,,10026.702,,4.115,280,340,,
45.8,2.719558788,,,Ctrl,,,7370.622,,3.185,580,590,,
2.1,0.571547607,,,Ctrl,,,,,,,,,
5.5,0.775671752,,,Ctrl,,,,,,,,,
2.8,0.85,,,Ctrl,,,,,,,,,
2.8,0.163299316,,,Ctrl,,,,,,,,,
10.5,1.224744871,,,Ctrl,,,,,,,,,
5.1,0.938971068,,,Ctrl,,,,,,,,,
0.265,0.065,,,Ctrl,,5.57,1.77,,,1.5,,,51
0.24,0.02815,,,Ctrl,,4.68,1.63,,,1.26,,,91
0.24,0.02815,,,Ctrl,,4.68,1.63,,,1.26,,,91
0.265,0.065,,,Ctrl,,5.57,1.77,,,1.5,,,51
0.165,0.071,,,Ctrl,,19.21,4.12,,,5.04,,,0
0.165,0.071,,,Ctrl,,19.21,4.12,,,5.04,,,0
0.165,0.071,,,Ctrl,,19.21,4.12,,,5.04,,,0
0.165,0.071,,,Ctrl,,19.21,4.12,,,5.04,,,0
3.79,2.0505,,,Ctrl,,9.03,6.42,,,3.23,,,63
3.79,2.0505,,,Ctrl,,9.03,6.42,,,3.23,,,63
3.79,2.0505,,,Ctrl,,9.03,6.42,,,3.23,,,63
3.79,2.0505,,,Ctrl,,9.03,6.42,,,3.23,,,63
27.1,3.3,,,Ctrl,,,,,,,,,
52.6,1.8,,,Ctrl,,,,,,,,,
52.6,1.8,,,Ctrl,,,,,,,,,
27.1,3.3,,,Ctrl,,,,,,,,,
1.9,0.244948974,,,Ctrl,,,507,,1.4,16,32,35,
3.5,0.571547607,,,Ctrl,,,1470,,2.1,19,34,88,
2.1,0.285773803,,,Ctrl,,,1114,,1.8,21,39,49,
22.5,3.622430124,,,Ctrl,,,1147,,1.9,31,47,37,
1,0.204124145,,,Ctrl,,,304,,1.4,28,50,14,
21.3,15.4,,,Ctrl,15,,20,,,,,,
10.5,1.2,,,Ctrl,15,,20,,,,,,
4.3,1.2,,,Ctrl,24,,20,,,,,,
17,2.1,,,Ctrl,23,,60,,,,,,
25.1,4.9,,,Ctrl,,,30,,,,,,
24.2,5,,,Ctrl,,,20,,,,,,
23.2,2.3,,,Ctrl,14,,40,,,,,,
24.9,2.4,,,Ctrl,20,,20,,,,,,
83.8,23.3,,,Ctrl,18,,80,,,,,,
8.1,2.4,,,Ctrl,16,,20,,,,,,
166.1,68.7,,,Ctrl,19,,,,,,,,
30.8,10,,,Ctrl,8.5,18,3410,,,28.5,,186.6,
30.8,10,,,Ctrl,8.5,18,3410,,,28.5,,186.6,
30.8,10,,,Ctrl,8.5,18,3410,,,28.5,,186.6,
177.4,11.3,,,Ctrl,8.5,18,3410,,,28.5,,186.6,
177.4,11.3,,,Ctrl,8.5,18,3410,,,28.5,,186.6,
177.4,11.3,,,Ctrl,8.5,18,3410,,,28.5,,186.6,
56.9,3.5,,,Ctrl,7.5,1.26,1798,,,28.5,,90.8,
56.9,3.5,,,Ctrl,7.5,1.26,1798,,,28.5,,90.8,
56.9,3.5,,,Ctrl,7.5,1.26,1798,,,28.5,,90.8,
141.9,14,,,Ctrl,7.5,1.26,1798,,,28.5,,90.8,
