Ref,PDF,Source,Site Name,Site Location,Ecoregion,Landmarks,Latitude,Latitude Converted,Latitude_GoogleEarth,Longitude_GoogleEarth,Chla_Instrument,Chla_Extraction,Chla_Acidification,Base,Substrate,Substrate Sub-category,NDS Category,NDS Sub-category,Orientation to surface,Starting Replicates,Days,Agar Percent,Nitrogen Molarity,Nitrogen Source,Phosphorus Molarity,Phosphorus Source,Design,Year,Season,Month,Order,Order Code,Catchment_km2,Stream Substrate,Substrate Code,Koppen 1st,Koppen full,Elevation_m,Depth_m,Velocity_m_sec,Slope_percent,Discharge_m3_sec,Turbidity_NTU,Primary Land Use,Secondary Land Use,Canopy_Percent,Canopy_Qual,Temp_C,pH,Cond_uS_cm,DO_mg_L,NH4_ug_L,NO3_ug_L,DIN_ug_L,TN_mg_L,SRP_ug_L,TP_ug_L,NO3_SRP_Ratio,Control_mean_mg_m2,Control SE,Control SD,Control Count,N_mean_mg_m2,N SE,N SD,Nitrogen Count,N Tstat,N Pval 1Tail,N Lim,N Pval 2Tail,N LRR Effect,N LRR Variance,P_mean_mg_m2,P SE,P SD,Phosphorus Count,P Tstat,P Pval 1Tail,P Lim,P Pval 2Tail,P LRR Effect,P LRR Variance,NP_mean_mg_m2,NP SE,NP SD,NP Count,NP Tstat,NP Pval 1Tail,NP Lim,NP Pval 2Tail,NP LRR,NP LRR Variance,Macroinverts Collected,Macroinverts Excluded,NDS Treatment,Independence Issues,Red Flags,Purpose,Notes,Page
Atkinson 2013,Yes,Web of Science 1st Searches,MM1,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,36.48,,,41.49,,28.55,7.54,25.8,6.07,,,,,,,17.75,79.4,3.5,12.12435565,12,91.7,4.2,14.54922678,12,-2.249790891,0.017399312,Yes,0.034798624,0.144024011,0.00404088,73.8,5.3,18.35973856,12,0.881698456,0.1937359,No,0.3874718,-0.073139637,0.007100597,100.7,4.4,15.24204711,12,-3.788500558,0.000504423,Yes,0.001008846,0.237647431,0.003852278,No,No,High mussel density,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,LN1,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,20.5,,,38.04,,27.13,7.59,34.03,7.34,,,,,,,19.34,64.8,3.7,12.81717598,12,123.5,6.1,21.13101985,12,-8.227714438,1.85E-08,Yes,3.69E-08,0.644935553,0.005699909,38.5,3.2,11.08512517,12,5.376311198,1.06E-05,No,2.13E-05,-0.520647362,0.010168685,91.5,8.5,29.44486373,12,-2.88013992,0.004346169,Yes,0.008692338,0.345033369,0.011889968,No,No,Low mussel density ,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,MM3,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,22.47,,,38.36,,30.39,7.45,27.5,6.73,,,,,,,16.19,64,3.1,10.73871501,12,68.4,5.9,20.43819953,12,-0.660181575,0.257995241,No,0.515990483,0.066489741,0.009786515,60,3.5,12.12435565,12,0.855529349,0.200740001,No,0.401480003,-0.064538521,0.005748969,79.8,5.1,17.66691824,12,-2.647342485,0.007356657,Yes,0.014713315,0.220640421,0.006430651,No,No,High mussel density,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,KN2,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,33.94,,,8.85,,28.93,7.39,49.75,4.89,,,,,,,19.27,43.6,1.8,6.235382907,12,62.2,6.2,21.47743001,12,-2.881038681,0.004337231,Yes,0.008674462,0.355297849,0.011640197,27.5,2.4,8.313843876,12,5.366666667,1.09E-05,No,2.18E-05,-0.460871146,0.009320931,59.4,5.7,19.74537921,12,-2.643264229,0.007423823,Yes,0.014847645,0.309237076,0.010912646,No,No,Low mussel density ,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,LM3,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,26.33,,,21.29,,28.41,7.69,31.35,5.99,,,,,,,21.73,83.2,5,17.32050808,12,93.5,6.8,23.55589098,12,-1.220324328,0.117630821,No,0.235261642,0.116714088,0.008900804,46.7,4,13.85640646,12,5.700342308,4.92E-06,No,9.85E-06,-0.577503183,0.010948002,108.7,9.2,31.86973486,12,-2.435317934,0.011720551,Yes,0.023441101,0.267344446,0.010774904,No,No,High mussel density,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,KM3,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,30.73,,,1.03,,30.74,7.53,36.95,5.99,,,,,,,21.62,26.5,4.2,14.54922678,12,30.8,4.2,14.54922678,12,-0.723942657,0.238364636,No,0.476729273,0.150369957,0.043714301,22.5,2.8,9.699484522,12,0.792428852,0.218286474,No,0.436572948,-0.163629424,0.040605679,41.6,6.4,22.17025034,12,-1.97255054,0.030622397,Yes,0.061244794,0.450955434,0.048787899,No,No,High mussel density,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,LM1,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,20.46,,,52.18,,29.43,7.56,37.97,5.48,,,,,,,17.11,88,4.8,16.62768775,12,93,6.8,23.55589098,12,-0.600711664,0.277085493,No,0.554170985,0.055262679,0.008321489,68.7,3.4,11.77794549,12,3.281098435,0.001705785,No,0.00341157,-0.247587615,0.00542452,108.4,9.2,31.86973486,12,-1.965905528,0.031027588,Yes,0.062055175,0.208491275,0.010178268,No,No,High mussel density,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,MN2,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,30.24,,,1.48,,29.48,7.43,35.45,6.58,,,,,,,15.87,55.7,6,20.78460969,12,61.6,3.8,13.16358614,12,-0.830738758,0.207523167,No,0.415046333,0.100681724,0.015409031,34.2,2.8,9.699484522,12,3.247156252,0.001848455,No,0.003696911,-0.487754503,0.0183065,70.7,7.6,26.32717228,12,-1.549110721,0.067810831,No,0.135621661,0.238465426,0.023159073,No,No,Low mussel density ,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,KM1,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,34.83,,,6.96,,30.41,7.5,52.75,5.655,,,,,,,21.8,64.6,5.2,18.0133284,12,68.9,9.7,33.60178567,12,-0.390699267,0.349888625,No,0.699777251,0.064441767,0.026299565,35,3.5,12.12435565,12,4.722268717,5.17E-05,No,0.000103432,-0.612866349,0.016479502,76.8,6.8,23.55589098,12,-1.425171406,0.084070708,No,0.168141417,0.172990229,0.014319129,No,No,High mussel density,No,No,Mussel effects on stream biota and nutrient cycling,TN:TP ratio ,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,MM2,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,29.4,,,19.14,,29.4,7.71,27.7,6.17,,,,,,,22.47,64.5,3.7,12.81717598,12,73.7,9.4,32.56255518,12,-0.910712553,0.186158915,No,0.372317829,0.133337575,0.019558164,48.7,9.8,33.94819583,12,1.508323152,0.07284977,No,0.14569954,-0.280986194,0.043784999,79.3,10,34.64101615,12,-1.388035527,0.089511931,No,0.179023862,0.206572905,0.019192736,No,No,High mussel density,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,KN2,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,30.46,,,22.33,,29.45,7.69,41,8.09,,,,,,,22.64,63.8,6,20.78460969,12,116,11.7,40.5299889,12,-3.969954834,0.00032448,Yes,0.00064896,0.597837001,0.01901741,44.7,3,10.39230485,12,2.847259891,0.004685519,No,0.009371038,-0.355779689,0.013348554,73.1,4.9,16.97409791,12,-1.200524798,0.121351589,No,0.242703178,0.136075176,0.01333747,No,No,Low mussel density ,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,MN1,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,42.34,,,14.06,,29.1,7.59,31.4,6.89,,,,,,,23.51,36.9,6.2,21.47743001,12,39.9,4.9,16.97409791,12,-0.3796252,0.353931747,No,0.707863495,0.078164773,0.043312849,51.9,6.8,23.55589098,12,-1.630049656,0.058663238,No,0.117326475,0.341107239,0.045397838,47.9,11.9,41.22280922,12,-0.819777742,0.210567983,No,0.421135966,0.260903953,0.089950856,No,No,Low mussel density ,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,MN3,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,26.45,,,27.03,,32.4,7.76,37.6,7.15,,,,,,,17.2,55.9,7.5,25.98076211,12,64.2,9.7,33.60178567,12,-0.676925414,0.252754685,No,0.50550937,0.138438831,0.040829386,45.9,6.5,22.5166605,12,1.007585444,0.162303915,No,0.324607831,-0.197099263,0.03805511,48.8,6.6,22.86307066,12,0.710675463,0.242375994,No,0.484751989,-0.135834067,0.036292548,No,No,Low mussel density ,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,KM2,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,29.32,,,0,,29.13,7.31,60.8,5.94,,,,,,,18.07,31.3,3.8,13.16358614,12,43.2,4.8,16.62768775,12,-1.943780273,0.032411082,Yes,0.064822164,0.322222398,0.027085035,22,1.8,6.235382907,12,2.211779447,0.018836508,No,0.037673015,-0.352575644,0.021433571,34.9,3.8,13.16358614,12,-0.669890635,0.254949135,No,0.50989827,0.108868732,0.02659476,No,No,High mussel density,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,KN3,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,27.78,,,14.97,,30.4,7.45,40.4,6.42,,,,,,,17.61,24.9,3.6,12.47076581,12,30.8,3.6,12.47076581,12,-1.158869447,0.1294671,No,0.2589342,0.212646887,0.034564552,23.7,2.5,8.660254038,12,0.273789989,0.393400065,No,0.78680013,-0.049392755,0.032030023,28.1,4.4,15.24204711,12,-0.562878036,0.289604822,No,0.579209644,0.120901773,0.045421322,No,No,Low mussel density ,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,LN2,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,23.28,,,18.62,,28.66,7.75,26.4,6.99,,,,,,,14.56,69.3,4.2,14.54922678,12,88.5,8.2,28.40563324,12,-2.084003977,0.024492044,Yes,0.048984087,0.244557646,0.012258112,32.9,2.8,9.699484522,12,7.211102552,1.58E-07,No,3.16E-07,-0.744972248,0.010916191,65.4,7,24.24871131,12,0.477746059,0.318771762,No,0.637543524,-0.057922648,0.015129294,No,No,Low mussel density ,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Austin 2015,Yes,Web of Science 1st Searches,DR,Arkansas,Eastern Temperate Forests,"Map, Lake",,,35,-91,Spectrophotometer,95% Ethanol,,Centrifuge Tube ,Glass disc,Glass disc,Vial,Vial,Perpindicular,5,16,2,0.5,NH4Cl,0.5,NaH2PO4,,2014,Summer,June & July,NA,,12.28,,,C,Cfa,,,,,0.014,5.1,Forest,,63.7,,,,,,,,,0.05,,14,,3.2,0.6,1.341640786,5,4.3,1.2,2.683281573,5,-0.819891592,0.218011363,No,0.436022725,0.295464213,0.113036185,2.8,1.1,2.459674775,5,0.319234754,0.378862486,No,0.757724972,-0.133531393,0.189492985,16.7,2.8,6.260990337,5,-4.714404497,0.000756524,Yes,0.001513048,1.65225791,0.063267692,No,No,Natural Gas Well Density ,No,No,Natural gas development effects on streams ,Also added 0.25 M of NaNO3,
Austin 2015,Yes,Web of Science 1st Searches,LC,Arkansas,Eastern Temperate Forests,"Map, Lake",,,35,-91,Spectrophotometer,95% Ethanol,,Centrifuge Tube ,Glass disc,Glass disc,Vial,Vial,Perpindicular,5,16,2,0.5,NH4Cl,0.5,NaH2PO4,,2014,Summer,June & July,NA,,27.18,,,C,Cfa,,,,,0.059,4.7,Forest,,55.9,,,,,,,,,0.02,,14,,2,0.5,1.118033989,5,3.7,1,2.236067977,5,-1.520526225,0.083434458,No,0.166868917,0.615185639,0.135546019,1.2,0.02,0.04472136,5,1.598721534,0.074274912,No,0.148549823,-0.510825624,0.062777778,3.6,0.2,0.447213595,5,-2.971125411,0.00892023,Yes,0.017840461,0.587786665,0.06558642,No,No,Natural Gas Well Density ,No,No,Natural gas development effects on streams ,Also added 0.25 M of NaNO3,
Austin 2015,Yes,Web of Science 1st Searches,PL,Arkansas,Eastern Temperate Forests,"Map, Lake",,,35,-91,Spectrophotometer,95% Ethanol,,Centrifuge Tube ,Glass disc,Glass disc,Vial,Vial,Perpindicular,5,16,2,0.5,NH4Cl,0.5,NaH2PO4,,2014,Summer,June & July,NA,,6.18,,,C,Cfa,,,,,0.003,6.3,Forest,,18.6,,,,,,,,,0.08,,16,,3.2,0.8,1.788854382,5,4.7,0.6,1.341640786,5,-1.5,0.086001646,No,0.172003292,0.384411699,0.078796967,2.4,0.5,1.118033989,5,0.847998304,0.210542253,No,0.421084507,-0.287682072,0.105902778,5.8,1.2,2.683281573,5,-1.802775638,0.054544592,No,0.109089184,0.594707108,0.105306183,No,No,Natural Gas Well Density ,No,No,Natural gas development effects on streams ,Also added 0.25 M of NaNO3,
