Ref,PDF,Source,Site Name,Site Location,Ecoregion,Landmarks,Latitude,Latitude Converted,Latitude_GoogleEarth,Longitude_GoogleEarth,Base,Substrate,Substrate Sub-category,NDS Category,NDS Sub-category,Orientation to surface,Starting Replicates,Days,Agar Percent,Nitrogen Molarity,Nitrogen Source,Phosphorus Molarity,Phosphorus Source,Design,Year,Season,Month,Order,Order Code,Catchment_km2,Stream Substrate,Substrate Code,Koppen 1st,Koppen full,Elevation_m,Depth_m,Velocity_m_sec,Slope_percent,Discharge_m3_sec,Turbidity_NTU,Primary Land Use,Secondary Land Use,Canopy_Percent,Canopy_Qual,Temp_C,pH,Cond_uS_cm,DO_mg_L,NH4_ug_L,NO3_ug_L,DIN_ug_L,TN_mg_L,SRP_ug_L,TP_ug_L,NO3_SRP_Ratio,Control_mean_mg_m2,Control SE,Control SD,Control Count,N_mean_mg_m2,N SE,N SD,Nitrogen Count,N LRR Effect,N LRR Variance,P_mean_mg_m2,P SE,P SD,Phosphorus Count,P LRR Effect,P LRR Variance,NP_mean_mg_m2,NP SE,NP SD,NP Count,NP LRR,NP LRR Variance,Macroinverts Collected,Macroinverts Excluded,NDS Treatment,Independence Issues,Red Flags,Purpose,Notes,Page
Marcarelli 2007,Yes,Web of Science 1st Searches,YB Toxaway Out,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,41,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,30,,,D,Dsb,2536,0.21,0.42,,0.84,,,,28,,17.1,,,,,67.8,,0.073,,6,12.1,13,5,11.18033989,5,15,2,4,4,0.143100844,0.165706772,17,5,8.660254038,3,0.268263987,0.234434184,38,9,20.1246118,5,1.072636802,0.204023177,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,ST Above,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,45,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,39,,,D,Dsb,2161,0.21,0.59,,0.32,,,,70,,10,,,,,12.8,,0.04,,6,6.4,10,3,6,4,13,4,8.94427191,5,0.262364264,0.184674556,21,5,11.18033989,5,0.741937345,0.146689342,77,10,22.36067977,5,2.041220329,0.106866251,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,YB Farley In,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,41,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,30,,,D,Dsb,2362,0.21,0.76,,2.09,,,,24,,12.6,,,,,60.5,,0.082,,6,14.9,10,3,6,4,5,1,1.732050808,3,-0.693147181,0.13,33,13,26,4,1.193922468,0.245188246,55,19,38,4,1.704748092,0.209338843,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Rier 2014,Yes,Web of Science 1st Searches,Mehoopany Creek,Pennsylvania,Northern Forests,Lat Long,41.391997,41.391997,,,Clay pot,Glazed tiles,Smooth,Clay pot,Clay Pot,Parallel,5,21,2,NA,,0.05,Na2HPO4,,2010,Summer,August,NA,,12,,,D,Dfb,630,0.2,0.1,,0.04,,,,0.6,,18.6,4.49,47,,,,,0.441,,6,163,0.19,0.07,0.156524758,5,,,,,,,0.22,0.07,0.156524758,5,0.146603474,0.236973741,,,,,,,No,No,Canopy Cover,Yes,No,"Effect of canopy cover on NDS, incl. microbial enzyme activity",,
Rier 2014,Yes,Web of Science 1st Searches,Mehoopany Creek,Pennsylvania,Northern Forests,Lat Long,41.391997,41.391997,,,Clay pot,Glazed tiles,Smooth,Clay pot,Clay Pot,Parallel,5,21,2,NA,,0.05,Na2HPO4,,2010,Summer,August,NA,,12,,,D,Dfb,630,0.2,0.1,,0.04,,,,60,,18.6,4.49,47,,,,,0.441,,6,163,2.7,0.3,0.670820393,5,,,,,,,3.7,0.5,1.118033989,5,0.315081047,0.030607184,,,,,,,No,No,Canopy Cover,Yes,No,"Effect of canopy cover on NDS, incl. microbial enzyme activity",,
Klose 2012,Yes,Web of Science 1st Searches,REF11,California,Mediterranean California,Map City Names,,,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,19,3,0.5,NaNO3,0.5,KH2PO4,,2008,Summer,July,NA,,,,,C,Csb,,0.09,0.18,,,,,,48.3,,24.5,8.09,860,9.9,13.7,0,21.1,0.11,4.4,6.1,25.5,33.7,2.6,5.813776741,5,56.9,2.6,5.813776741,5,0.523797504,0.008040288,56.3,2.6,5.813776741,5,0.513196698,0.008085029,157.9,5.3,11.85116028,5,1.544464084,0.007078975,No,Yes,Land Use Gradient,Yes,Yes,"Effects of dissolved oxygen and development on algae, in chaparrel climate","Some sites look pretty close to each other; unclear which were estuaries but excluded the two labeled as ""estuary"" ",
Green 2006,Yes,Web of Science 1st Searches,Granite Flat,California,Northwestern Forested Mountains,"Distance from Tahoe, toward Pyramid Lake",,,,,Plastic vial ,Filter,Filter,Vial,Vial,Parallel,4,19,2,0.5,NaNO3,0.5,KH2PO4,,2001,Summer,August,NA,,8000,,,D,Dsb,,,,,,,,,,,,,,,,,6.9,0.09,2.5,6.25,25,1.3,0.4,0.8,4,2.3,0.8,1.6,4,0.570544858,0.215657543,7,4,8,4,1.683545885,0.421205168,2.9,0.6,1.2,4,0.802346473,0.137480739,No,No,Site,No,No,Interested in longitudinal nutrient-periphyton changes,One of the controls only had 3 reps; TN:TP ratio; nutrients averaged from 4 monthly samples in summer,
Marcarelli 2007,Yes,Web of Science 1st Searches,ST Inlet,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,45,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,39,,,D,Dsb,1993,0.21,0.56,,0.99,,,,70,,10.3,,,,,27.6,,0.048,,7,6.9,14,2,4.472135955,5,14,2,4.472135955,5,0,0.040816327,25,2,4,4,0.579818495,0.026808163,68,2,4.472135955,5,1.580450376,0.021273215,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,YB Toxaway S,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,41,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,30,,,D,Dsb,2548,0.21,0.21,,0.18,,,,9,,11.2,,,,,72.5,,0.082,,7,11.6,5,0.01,0.01,5,9,2,4.472135955,5,0.587786665,0.049383516,8,1,2.236067977,5,0.470003629,0.0156258,33,3,6.708203932,5,1.887069649,0.008265263,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,YB Out,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,41,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,30,,,D,Dsb,2143,0.21,0.68,,1.02,,,,70,,18.6,,,,,13.4,,0.064,,7,9.6,4,1,1.732050808,3,8,1,1.732050808,3,0.693147181,0.078125,12,1,1.732050808,3,1.098612289,0.069444444,48,6,10.39230485,3,2.48490665,0.078125,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,YB Toxaway N,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,41,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,30,,,D,Dsb,1550,0.21,0.17,,0.07,,,,30,,9,,,,,167.1,,0.135,,7,18.1,25,3,6,4,12,2,3.464101615,3,-0.733969175,0.042177778,42,5,10,4,0.518793793,0.028572336,34,6,10.39230485,3,0.3074847,0.045541869,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Rier 2014,Yes,Web of Science 1st Searches,Fishing Creek,Pennsylvania,Northern Forests,Lat Long,41.304336,41.304336,,,Clay pot,Glazed tiles,Smooth,Clay pot,Clay Pot,Parallel,5,21,2,NA,,0.05,Na2HPO4,,2010,Summer,August,NA,,20,,,D,Dfb,480,0.2,0.1,,0.035,,Forest,,0.6,,14.6,6.19,25,,,,,0.457,,7,145,0.1,0.02,0.04472136,5,,,,,,,0.09,0.02,0.04472136,5,-0.105360516,0.089382716,,,,,,,No,No,Canopy Cover,Yes,No,"Effect of canopy cover on NDS, incl. microbial enzyme activity",,
Rier 2014,Yes,Web of Science 1st Searches,Fishing Creek,Pennsylvania,Northern Forests,Lat Long,41.304336,41.304336,,,Clay pot,Glazed tiles,Smooth,Clay pot,Clay Pot,Parallel,5,21,2,NA,,0.05,Na2HPO4,,2010,Summer,August,NA,,20,,,D,Dfb,480,0.2,0.1,,0.035,,Forest,,60,,14.6,6.19,25,,,,,0.457,,7,145,2.4,0.8,1.788854382,5,,,,,,,3.3,0.9,2.01246118,5,0.318453731,0.185491276,,,,,,,No,No,Canopy Cover,Yes,No,"Effect of canopy cover on NDS, incl. microbial enzyme activity",,
Snyder 2002,Yes,Web of Science 1st Searches,K1,Idaho,Northwestern Forested Mountains,Lat Long,"48.42'55""",48.715278,,,Plastic vial,Crucible cover,Smooth,Vial,Vial,Parallel,4,30,4,0.1,NaNO3,0.1,KH2PO4,Random,,NA,,6+,Large,,,,D,DSb ,,0.45,0.58,2,,1.6,,,6,,,8.2,240,,5,120,,,,7,39,12.4,0.55,1.1,4,20.2,3.95,7.9,4,0.487986132,0.040205024,58.4,3.4,6.8,4,1.549619417,0.005356824,102.2,3.95,7.9,4,2.109235205,0.003461152,No,No,"Longitudinal, basin placement",No,No,Effect of large-scale (drainage basin) and small-scale (nutrient) factors on diatom species,TIN:TP; converted sd to SE,
Klose 2012,Yes,Web of Science 1st Searches,ST7,California,Mediterranean California,Map City Names,,,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,19,3,0.5,NaNO3,0.5,KH2PO4,,2008,Summer,July,NA,,,,,C,Csb,,0.09,0.11,,,,,,29,,22.9,8.1,915,12.5,22.1,50.2,84.7,0.16,5.1,7.1,43.8,83.7,11,24.59674775,5,138.5,13.7,30.63413129,5,0.503631348,0.027056241,73,2.8,6.260990337,5,-0.136779536,0.01874287,215.5,16.4,36.67151483,5,0.945721932,0.023063203,No,Yes,Land Use Gradient,Yes,Yes,"Effects of dissolved oxygen and development on algae, in chaparrel climate","Some sites look pretty close to each other; unclear which were estuaries but excluded the two labeled as ""estuary"" ",
Klose 2012,Yes,Web of Science 1st Searches,REF13,California,Mediterranean California,Map City Names,,,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,19,3,0.5,NaNO3,0.5,KH2PO4,,2008,Summer,July,NA,,,,,C,Csb,,0.09,0.16,,,,,,28.7,,25.2,8.2,882,10.9,23.1,0,27.9,0.05,4.3,7.3,8.7,37.9,2.7,6.037383539,5,102.2,5.4,12.07476708,5,0.991980566,0.007866962,50.5,2.7,6.037383539,5,0.287022224,0.007933696,144.7,2.7,6.037383539,5,1.339711522,0.005423322,No,Yes,Land Use Gradient,Yes,Yes,"Effects of dissolved oxygen and development on algae, in chaparrel climate","Some sites look pretty close to each other; unclear which were estuaries but excluded the two labeled as ""estuary"" ",
Klose 2012,Yes,Web of Science 1st Searches,ST9,California,Mediterranean California,Map City Names,,,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,19,3,0.5,NaNO3,0.5,KH2PO4,,2008,Summer,July,NA,,,,,C,Csb,,0.09,0.12,,,,,,27,,20.2,7.5,904,11.33,16.8,370.5,405.7,0.47,6.9,7.5,115,133.6,23.9,53.44202466,5,145.9,13.3,29.7397041,5,0.088071194,0.040312265,145,5.3,11.85116028,5,0.081883481,0.033338453,290,24,53.66563146,5,0.775030662,0.038851414,No,Yes,Land Use Gradient,Yes,Yes,"Effects of dissolved oxygen and development on algae, in chaparrel climate","Some sites look pretty close to each other; unclear which were estuaries but excluded the two labeled as ""estuary"" ",
Marcarelli 2007,Yes,Web of Science 1st Searches,ST Outlet,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,45,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,39,,,D,Dsb,1981,0.21,0.52,,1.3,,,,58,,15.9,,,,,2.4,,0.29,,8,36.1,8,5,8.660254038,3,14,9,15.58845727,3,0.559615788,0.803890306,11,6,10.39230485,3,0.318453731,0.688145661,,,,,,,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Pringle 1987,Yes,Web of Science,Carp Creek ,Michigan,Northern Forests,Cheboygan County,45.33',45.55,,,Reservoir,Agar,Agar,Vial,,Parallel,3,22,,8,NaNO3,0.5,KH2PO4,,1983,Fall,September,2,Small,,Sand and Detritus,Small,D,Dfb,,,0.19,,,,,,,,10.1,,,,73.98,182.9,,,7.6,8.05,36.88,10.1,0.01,0.01,3,,,,,,,,,,,,,52.8,5.8,10.04589468,3,1.653975767,0.012067016,No,No,Nutrient type  ,No,No,Effect of nutrient type on algae,"Also had experiments where water nutrient concentrations manipulated, but effective concentrations not reported",
Marcarelli 2007,Yes,Web of Science 1st Searches,YB Farley Out,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,41,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,30,,,D,Dsb,2359,0.21,0.83,,1.33,,,,47,,17,,,,,38.3,,0.072,,9,8.4,10,1,2,4,8,2,4,4,-0.223143551,0.0725,14,1,1.732050808,3,0.336472237,0.015102041,48,4,8,4,1.568615918,0.016944444,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,YB McD In,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,41,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,30,,,D,Dsb,2164,0.21,0.38,,0.57,,,,0,,12.3,,,,,52.8,,0.068,,9,8,14,2,4.472135955,5,10,1,2.236067977,5,-0.336472237,0.030408163,23,7,15.65247584,5,0.496436886,0.113035763,155,50,111.8033989,5,2.404367787,0.124466436,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Snyder 2002,Yes,Web of Science 1st Searches,K3,Idaho,Northwestern Forested Mountains,Lat Long,"48.53'19""",48.888611,,,Plastic vial,Crucible cover,Smooth,Vial,Vial,Parallel,4,30,4,0.1,NaNO3,0.1,KH2PO4,Random,,NA,,6+,Large,,,,D,Dfb,,0.26,0.01,0.2,,1.6,,,3,,,8,225,,9,110,,,,9,29,18,3.9,7.8,4,18,1.1,2.2,4,0,0.050679012,28.1,3.95,7.9,4,0.445397818,0.066704199,153.9,16.3,32.6,4,2.145931283,0.058161993,No,No,"Longitudinal, basin placement",No,No,Effect of large-scale (drainage basin) and small-scale (nutrient) factors on diatom species,TIN:TP; converted sd to SE,
Snyder 2002,Yes,Web of Science 1st Searches,S1,Idaho,Northwestern Forested Mountains,Lat Long,"44.29'30""",44.491667,,,Plastic vial,Crucible cover,Smooth,Vial,Vial,Parallel,4,30,4,0.1,NaNO3,0.1,KH2PO4,Random,,NA,,6+,Large,,,,D,Dfc,,0.26,0.26,1,,1.8,,,6,,,8.3,115,,10,2,,,,9,3,2.2,0.35,0.7,4,7.3,1.85,3.7,4,1.199416988,0.089533974,3.3,1.25,2.5,4,0.405465108,0.168790174,27.4,3.1,6.2,4,2.522085653,0.03811028,No,No,"Longitudinal, basin placement",No,No,Effect of large-scale (drainage basin) and small-scale (nutrient) factors on diatom species,TIN:TP; converted sd to SE,
Ambrose 2004 and Ambrose 2003,Yes,Web of Science 1st Searches,Tectah Creek,California,Marine West Coast Forests,Map Lat Long and distance to Ocean,"41.15'47""",41.4625,41,-123,Clay Pot,Agar,Agar,Clay Pot,Clay Pot,Parallel,8,21,2,0.5,NaNO3,0.1,KH2PO4,Block,2002,Summer,August,2 or 3,Small,7.9,"Cobbles, Pebbles",Large,C,Csb,,,,2.9,,,Forest,,,Open,12.5,,,,,,,0.2,,9.5,,4.5,0.1,0.282842712,8,23.3,2.2,6.222539674,8,1.644375964,0.009409077,10.6,5.8,16.40487732,8,0.856776604,0.29988863,8.6,2,5.656854249,8,0.647684806,0.054577115,No,No,No Carcass Enrichment,Yes,No,Salmon carcass effects on stream biota and nutrient cycling,Temp data from 2003 thesis; nutrients from late June grab sample,
Marcarelli 2007,Yes,Web of Science 1st Searches,YB In,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,41,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,30,,,D,Dsb,2158,0.21,0.62,,0.78,,,,46,,14.9,,,,,34.9,,0.073,,10,7.7,13,2,4.472135955,5,11,2,4.472135955,5,-0.167054085,0.05672649,32,4,8.94427191,5,0.900786545,0.039293639,114,22,49.1934955,5,2.171249091,0.060910867,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
